処理時間	平方根和の差	世代交代数	個体集団内の個体の数	エリート保存戦略で残す個体の数	トーナメント選択で無作為抽出する個体の数	突然変異確率	フロイド問題におけるN	選択方式	交叉方式
3.006838	0.000006	1000	1000	10	5	0.100000	64	トーナメント選択	1点交叉
4.169955	0.000152	1000	1000	10	5	0.100000	64	ランキング選択	2点交叉
4.082648	0.000000	1000	1000	10	5	0.100000	64	ランキング選択	一様交叉
4.210396	0.000060	1000	1000	10	5	0.100000	64	ランキング選択	1点交叉
2.913917	0.000107	1000	1000	10	5	0.010000	64	トーナメント選択	2点交叉
2.979986	0.000038	1000	1000	10	5	0.010000	64	トーナメント選択	一様交叉
2.923452	0.000070	1000	1000	10	5	0.010000	64	トーナメント選択	1点交叉
3.919898	0.000149	1000	1000	10	5	0.010000	64	ランキング選択	2点交叉
3.828853	0.000002	1000	1000	10	5	0.010000	64	ランキング選択	一様交叉
4.069568	0.000000	1000	1000	10	5	0.010000	64	ランキング選択	1点交叉
3.051384	0.000028	1000	1000	10	10	0.100000	64	トーナメント選択	2点交叉
3.133345	0.000112	1000	1000	10	10	0.100000	64	トーナメント選択	一様交叉
2.995057	0.000029	1000	1000	10	10	0.100000	64	トーナメント選択	1点交叉
4.086693	0.000277	1000	1000	10	10	0.100000	64	ランキング選択	2点交叉
4.031310	0.000264	1000	1000	10	10	0.100000	64	ランキング選択	一様交叉
4.141809	0.000067	1000	1000	10	10	0.100000	64	ランキング選択	1点交叉
3.010213	0.000002	1000	1000	10	10	0.010000	64	トーナメント選択	2点交叉
2.980616	0.000021	1000	1000	10	10	0.010000	64	トーナメント選択	一様交叉
2.950237	0.000084	1000	1000	10	10	0.010000	64	トーナメント選択	1点交叉
4.093467	0.000053	1000	1000	10	10	0.010000	64	ランキング選択	2点交叉
3.943217	0.000030	1000	1000	10	10	0.010000	64	ランキング選択	一様交叉
3.814977	0.000100	1000	1000	10	10	0.010000	64	ランキング選択	1点交叉
2.784488	0.000011	1000	1000	10	1	0.100000	64	トーナメント選択	2点交叉
3.058310	0.000041	1000	1000	10	1	0.100000	64	トーナメント選択	一様交叉
2.790952	0.000010	1000	1000	10	1	0.100000	64	トーナメント選択	1点交叉
3.986362	0.000069	1000	1000	10	1	0.100000	64	ランキング選択	2点交叉
3.877971	0.000015	1000	1000	10	1	0.100000	64	ランキング選択	一様交叉
4.128461	0.000077	1000	1000	10	1	0.100000	64	ランキング選択	1点交叉
2.835988	0.000150	1000	1000	10	1	0.010000	64	トーナメント選択	2点交叉
2.770805	0.000272	1000	1000	10	1	0.010000	64	トーナメント選択	一様交叉
2.865856	0.000050	1000	1000	10	1	0.010000	64	トーナメント選択	1点交叉
3.743599	0.000016	1000	1000	10	1	0.010000	64	ランキング選択	2点交叉
3.686945	0.000043	1000	1000	10	1	0.010000	64	ランキング選択	一様交叉
3.871925	0.000080	1000	1000	10	1	0.010000	64	ランキング選択	1点交叉
2.991726	0.000057	1000	1000	1	5	0.100000	64	トーナメント選択	2点交叉
2.849744	0.000005	1000	1000	1	5	0.100000	64	トーナメント選択	一様交叉
2.836312	0.000028	1000	1000	1	5	0.100000	64	トーナメント選択	1点交叉
3.895370	0.000078	1000	1000	1	5	0.100000	64	ランキング選択	2点交叉
3.698410	0.000122	1000	1000	1	5	0.100000	64	ランキング選択	一様交叉
3.810364	0.000021	1000	1000	1	5	0.100000	64	ランキング選択	1点交叉
2.866404	0.000172	1000	1000	1	5	0.010000	64	トーナメント選択	2点交叉
2.788214	0.000082	1000	1000	1	5	0.010000	64	トーナメント選択	一様交叉
2.721969	0.000051	1000	1000	1	5	0.010000	64	トーナメント選択	1点交叉
3.705359	0.000046	1000	1000	1	5	0.010000	64	ランキング選択	2点交叉
3.680914	0.000033	1000	1000	1	5	0.010000	64	ランキング選択	一様交叉
3.777838	0.000069	1000	1000	1	5	0.010000	64	ランキング選択	1点交叉
2.910847	0.000029	1000	1000	1	10	0.100000	64	トーナメント選択	2点交叉
2.938365	0.000001	1000	1000	1	10	0.100000	64	トーナメント選択	一様交叉
2.883546	0.000052	1000	1000	1	10	0.100000	64	トーナメント選択	1点交叉
3.807759	0.000023	1000	1000	1	10	0.100000	64	ランキング選択	2点交叉
3.830000	0.000207	1000	1000	1	10	0.100000	64	ランキング選択	一様交叉
3.957567	0.000027	1000	1000	1	10	0.100000	64	ランキング選択	1点交叉
2.857839	0.000135	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
3.020883	0.000067	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
2.877746	0.000010	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.984542	0.000233	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
4.237957	0.000037	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
4.036357	0.000093	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.928486	0.000060	1000	1000	1	1	0.100000	64	トーナメント選択	2点交叉
2.898571	0.000006	1000	1000	1	1	0.100000	64	トーナメント選択	一様交叉
2.739041	0.000045	1000	1000	1	1	0.100000	64	トーナメント選択	1点交叉
4.054635	0.000000	1000	1000	1	1	0.100000	64	ランキング選択	2点交叉
4.135921	0.000039	1000	1000	1	1	0.100000	64	ランキング選択	一様交叉
4.301440	0.000006	1000	1000	1	1	0.100000	64	ランキング選択	1点交叉
2.919226	0.000005	1000	1000	1	1	0.010000	64	トーナメント選択	2点交叉
2.847843	0.000024	1000	1000	1	1	0.010000	64	トーナメント選択	一様交叉
2.888626	0.000140	1000	1000	1	1	0.010000	64	トーナメント選択	1点交叉
4.086579	0.000023	1000	1000	1	1	0.010000	64	ランキング選択	2点交叉
3.997222	0.000080	1000	1000	1	1	0.010000	64	ランキング選択	一様交叉
3.949886	0.000016	1000	1000	1	1	0.010000	64	ランキング選択	1点交叉
2.733608	0.000037	1000	1000	10	5	0.100000	64	トーナメント選択	2点交叉
2.826350	0.000015	1000	1000	10	5	0.100000	64	トーナメント選択	一様交叉
2.734973	0.000042	1000	1000	10	5	0.100000	64	トーナメント選択	1点交叉
